AMRH,10-Oct-18,1.24,1.24,1.1,1.15,-7.26,94700
AMRHW,10-Oct-18,0.195,0.195,0.195,0.195,0.00,1000
AMRK,10-Oct-18,13.05,13.275,13.05,13.06,0.08,9600
AMRN,10-Oct-18,17.48,17.58,16.8,17.335,-0.83,10766200
AMRS,10-Oct-18,9.2,9.2,8.575,8.86,-3.70,1836400
AMRWW,10-Oct-18,0.48,0.49,0.43,0.47,-2.08,235300
AMSC,10-Oct-18,6.83,6.97,6.37,6.44,-5.71,203500
AMSF,10-Oct-18,63.09,63.39,62.14,62.42,-1.06,56100
AMSWA,10-Oct-18,11.88,12.1,11.88,12,1.01,251700
AMTD,10-Oct-18,53.08,53.1,50.79,50.8,-4.30,3548200
AMTX,10-Oct-18,1.41,1.45,1.26,1.26,-10.64,471000
AMWD,10-Oct-18,71.83,72.37,69.51,70.91,-1.28,355800
AMZN,10-Oct-18,1857.89,1858.56,1754.41,1755.25,-5.52,10988800
ANAB,10-Oct-18,86.59,86.95,82.48,82.99,-4.16,487300
ANAT,10-Oct-18,127.89,128.475,125.69,127.31,-0.45,29800
ANCB,10-Oct-18,27.45,27.83,27.45,27.46,0.04,2200
ANCX,10-Oct-18,29.06,29.5,28.93,28.97,-0.31,168600
ANDE,10-Oct-18,37.36,37.59,35.61,35.65,-4.58,131100
ANGI,10-Oct-18,19.92,20.05,18.94,18.97,-4.77,1490800
ANGO,10-Oct-18,20.29,20.43,19.93,19.97,-1.58,185800
ANIK,10-Oct-18,41.66,41.93,40.63,40.73,-2.23,72900
ANIP,10-Oct-18,55.5,55.73,54.27,54.38,-2.02,67900
ANIX,10-Oct-18,5.7,6.35,5.43,6.05,6.14,340700
ANSS,10-Oct-18,165.51,165.51,155.56,155.71,-5.92,882900
ANY,10-Oct-18,0.325,0.345,0.31,0.319,-1.85,608400
AOBC,10-Oct-18,14.54,14.71,14.16,14.32,-1.51,907700
AOSL,10-Oct-18,9.94,10.065,9.65,9.83,-1.11,185700
APDN,10-Oct-18,1.45,1.45,1.39,1.39,-4.14,98100
APDNW,10-Oct-18,0.14,0.2,0.14,0.2,42.86,6000
APEI,10-Oct-18,30.6,30.9,30.11,30.24,-1.18,61100
APEN,10-Oct-18,6.81,6.925,6.5,6.5,-4.55,75100
APLS,10-Oct-18,15.82,15.96,15.06,15.11,-4.49,350700
APOG,10-Oct-18,40.56,40.65,39.68,39.77,-1.95,141500
APOP,10-Oct-18,4.72,4.85,4.72,4.77,1.06,12400
APPF,10-Oct-18,66.94,66.94,62.76,63.38,-5.32,242400
APPN,10-Oct-18,26.69,26.71,23.88,24.28,-9.03,1065400
APPS,10-Oct-18,1.35,1.35,1.24,1.24,-8.15,221600
APRI,10-Oct-18,0.311,0.318,0.29,0.295,-5.14,375200
APTI,10-Oct-18,31.6,31.6,29.66,29.76,-5.82,625200
APTO,10-Oct-18,2.08,2.28,2,2.14,2.88,474500
APTX,10-Oct-18,27.38,28.5,26.755,27.81,1.57,43000
APVO,10-Oct-18,4.5,4.52,4.31,4.33,-3.78,77300
AQB,10-Oct-18,3.07,3.1,3,3,-2.28,9600
AQMS,10-Oct-18,2.65,2.71,2.42,2.45,-7.55,365400
AQST,10-Oct-18,14.8,15.13,13.81,14.42,-2.57,107900
AQXP,10-Oct-18,2.67,2.69,2.55,2.62,-1.87,206200
ARAY,10-Oct-18,4.17,4.24,4,4.01,-3.84,1749300
ARCB,10-Oct-18,42.25,42.3,40.04,40.71,-3.64,313100
ARCC,10-Oct-18,16.83,16.88,16.6,16.6,-1.37,2082800
ARCE,10-Oct-18,22.12,22.29,20.7,21.49,-2.85,186000
ARCI,10-Oct-18,0.8,0.83,0.76,0.77,-3.75,43200
ARCT,10-Oct-18,7.45,7.45,7.15,7.29,-2.15,9500
ARCW,10-Oct-18,1.81,1.89,1.79,1.85,2.21,11600
ARDM,10-Oct-18,1.34,1.36,1.27,1.3,-2.99,42800
ARDS,10-Oct-18,12.41,13,12.41,12.62,1.69,2200
ARDX,10-Oct-18,3.98,4.08,3.82,3.82,-4.02,285800
AREX,10-Oct-18,2.16,2.2,2.11,2.11,-2.31,184500
ARGX,10-Oct-18,67.85,67.97,63.81,63.81,-5.95,287500
ARII,10-Oct-18,47.5,47.72,45.26,45.44,-4.34,91400
ARKR,10-Oct-18,23.08,23.25,23.05,23.05,-0.13,700
ARLP,10-Oct-18,20.74,20.74,20.32,20.39,-1.69,333600
ARNA,10-Oct-18,39.74,40.17,38.94,38.99,-1.89,755800
AROW,10-Oct-18,37.22,37.27,36.33,36.48,-1.99,10500
ARPO,10-Oct-18,2.95,2.96,2.71,2.71,-8.14,53900
ARQL,10-Oct-18,4.09,4.13,3.94,4.06,-0.73,1643700
ARRS,10-Oct-18,24.02,24.13,23.38,23.39,-2.62,899500
ARRY,10-Oct-18,13.37,13.55,12.89,12.92,-3.37,2489400
ARTNA,10-Oct-18,35.8,36.14,35.52,35.9,0.28,15500
ARTW,10-Oct-18,2.3,2.35,2.3,2.3,0.00,10000
ARTX,10-Oct-18,3.02,3.11,2.96,3.01,-0.33,133900
ARVN,10-Oct-18,14.86,15.33,14.39,14.44,-2.83,122400
ARWR,10-Oct-18,13.61,13.79,12.52,12.64,-7.13,4333800
ASCMA,10-Oct-18,1.43,1.46,1.32,1.33,-6.99,52400
ASET,10-Oct-18,27.19,27.2,27.095,27.095,-0.35,1300
ASFI,10-Oct-18,3.95,3.95,3.95,3.95,0.00,5700
ASLN,10-Oct-18,7.149,7.795,7.01,7.055,-1.31,8000
ASMB,10-Oct-18,25.35,25.87,24.68,24.75,-2.37,180900
ASML,10-Oct-18,174.61,176.52,171.85,171.92,-1.54,1515900
ASNA,10-Oct-18,4.37,4.4,4.19,4.26,-2.52,1481000
ASND,10-Oct-18,64.74,66.53,61.78,61.98,-4.26,53300
ASNS,10-Oct-18,1.96,1.96,1.76,1.78,-9.18,191000
ASPS,10-Oct-18,30.93,31.34,29.61,30.16,-2.49,76200
ASPU,10-Oct-18,6.67,6.8,6.41,6.5,-2.55,85700
ASRT,10-Oct-18,5.62,5.8,5.55,5.55,-1.25,530000
ASRV,10-Oct-18,4.26,4.27,4.25,4.25,-0.23,10500
ASRVP,10-Oct-18,28.68,28.84,28.54,28.7,0.07,700
ASTC,10-Oct-18,2.83,3.79,2.62,2.69,-4.95,2394500
ASTE,10-Oct-18,51.09,51.09,49.74,49.87,-2.39,109800
ASUR,10-Oct-18,11.38,11.38,10.51,10.79,-5.18,361200
ASV,10-Oct-18,4.92,5.03,4.79,4.9,-0.41,7300
ASYS,10-Oct-18,4.66,4.77,4.56,4.74,1.72,104900
ATAI,10-Oct-18,1.03,1.15,1.01,1.01,-1.94,78500
ATAX,10-Oct-18,5.52,5.55,5.35,5.38,-2.54,229000
ATEC,10-Oct-18,3.01,3.09,2.95,2.95,-1.99,49500
ATHN,10-Oct-18,125.01,126.04,121.45,121.83,-2.54,278400
